Character,Gender,Playable,Line
Narrator,,Non-Playable,"A small mid-western town in America: Raccoon City. A solitary island far off in the sea: Rock Fort Island. An island that would become the second Raccoon City: Sheena Island. There are still many unasnwered questions about these seemingly unrelated and yet intensely traumatic events. Though it is believed that the international enterprise, Umbrella was somehow involved, little is known as to the origin of this faceless corporation. When was it established? By whom? And how was the T-Virus created? To uncover the truth, we must delve deeper into the events which transpired in the beginning before the mansion incident."
Man 1,Male,Non-Playable,Really?
Woman,Female,Non-Playable,"Hmm, do you think so too?"
Man 2,Male,Non-Playable,Yeah.
Man 3,Male,Non-Playable,...do about it?
Man 4,Male,Non-Playable,We should hold off for a while.
Man 5,Male,Non-Playable,I wonder how those RNP people will react to this?
Man 6,Male,Non-Playable,Hmm?
Man 6,Male,Non-Playable,(gasps)
Man 6,Male,Non-Playable,(screams and leaps from his seat.)
Rebecca,Female,Playable,It began as a simple investigation of some bizarre murders in the suburbs of Raccoon City. Nothing in our training could ever have prepared us for the nightmare that ensued. We never stood a chance.
Enrico,Male,Non-Playable,What's going on?
Edward,Male,Non-Playable,Engine failure! Emergency landing!
Edward,Male,Non-Playable,Ugh!!
Enrico,Male,Non-Playable,Check the current position and investigate the surrounding area.
Rebecca,Female,Playable,(gasps) Captain! Look!
Rebecca,Female,Playable,(gasps)
Rebecca,Female,Playable,Captain!
Enrico,Male,Non-Playable,Hmm? What happened?
Rebecca,Female,Playable,"Court order for transportation. Prisoner: Billy Coen, ex-lieutenant, 26 years old. Court marshaled and sentenced to death July 22. Prisoner is to be transferred to the Ragathon Base for execution."
Edward,Male,Non-Playable,Those poor soldiers. They were good men just doing their jobs and that scum murdered them and escaped!
Enrico,Male,Non-Playable,Alright everyone! Let's separate and survey the area. Our friend is brutal and ruthless. Keep your guard up!
Rebecca,Female,Playable,This is officer Chambers from S.T.A.R.S. Bravo team. Please identify yourself.
Rebecca,Female,Playable,Is someone there?
Rebecca,Female,Playable,(gasps)
Rebecca,Female,Playable,"What just happened? I, I thought they were dead..?"
Rebecca,Female,Playable,"Billy, Lieutenant Coen."
Billy,Male,Playable,"So, you seem to know me. Been fantasizing about me have you?"
Rebecca,Female,Playable,You're the prisoner that was being transferred for execution. You were with those soldiers outside.
Billy,Male,Playable,"Oh, I see. You're with S.T.A.R.S., well, no offense, honey, but your kind doesn't seem to want me around. So, I'm afraid our little chat time is over."
Rebecca,Female,Playable,Wait! You're under arrest!
Billy,Male,Playable,"No thanks, doll-face. I've already worn handcuffs."
Rebecca,Female,Playable,I could shoot you know!
Rebecca,Female,Playable,Edward! Are you all right? What happened?
Edward,Male,Non-Playable,"It's worse than.w..we can't..y..you must be careful, Rebecca. The forest is full of z..zombies and..monsters."
Rebecca,Female,Playable,Zombies and monsters?
Edward,Male,Non-Playable,"Ughh, ahhh."
Rebecca,Female,Playable,Ahhh!
Rebecca,Female,Playable,"This is Rebecca, over."
Enrico,Male,Non-Playable,"Rebecca, can you hear me? This is Enrico. What's your location? Over."
Rebecca,Female,Playable,Enrico! Hello? Can you read me? Please respond.
