Character,Gender,Line
Ethan,Male,"Okay… where to start. My name… it's Ethan. Ethan Winters. It's been 3 years since everything happened at the Baker house. I was looking for my wife who disappeared. I got an email from her. She told me to come get her… and of course it's how I get in the middle of nowhere. Louisiana… I find Mia being held captive in a dark basement. She wasn't thinking right… she attacked me like some kind of wild animal. Later on I find out that she was infected by a special kind of mold. I looked all over the house trying to find an antidote. A vaccine, anything. The people who live there were already infected. What was left of them wasn't human. There’s so something infection was a bio weapon that look like a little girl. Her name was Evelyn. I fought the fucked up family and being able to treat Mia's symptoms with the serum… when Chris Redfield and his soldier buddies showed up and saved both of us. Is that enough? I really don't want to talk about what happened anymore."
Woman,Female,"Long ago, a young girl went with her mother to pick berries for her father who was hard at work. But the forest greeted them with a dark, cold silence, the bushes empty. Yet, determined to find the berries, the rascal broke free from Mother's grasp and vanished into the trees. Mother's worried cries faded fast as the girl ran on; over vine, and under branch and into the forest deep. Feeling strange eyes upon her, the girl recalled Mother's scary bedtime tales and her throat became bone dry. Then the Bat Lord appeared! He greeted, her warmly and bit his own wing. “Come, child. Quench your thirst,” he said. So she drank the thick, dark blood and smiled with joy. Passing through a graveyard, menacing storm clouds loomed and the air turned bitingly cold. Passing through a graveyard, menacing storm clouds loomed and the air turned bitingly cold. The girl was shivering in her thin clothes. Then a Dark Weaver appeared, and with a click of his fingers, crafted mist into a beautiful dress. “Come, child, warm yourself,” he coaxed. So she clothed herself and smiled with joy. Across waters deep and ominous she went, hoping a boat she found would carry her home. But hunger's grip tightened and her heart grew heavy. Then the Fish King appeared and offered one of his many fins. “Come, child. Eat your fill.” So the girl ate and smiled with joy once more. Continuing on, she soon entered the forest's dark heart. Then an Iron Steed appeared, bearing a beautiful, golden gear. The creature said nothing as the girl approached… …and snatched what she thought was another gift. The horse grew angry and summoned the other monsters. Terror filled the girl's heart as a wild wind rose about the beasts. Suddenly, a witch appeared-dark, yet regal."
Mia,Female,"“Gifts we gave, but more you took,” she snarled. “So more, in turn, is due.” “In a blink, the girl was trapped inside a mirror.” There. She's asleep."
Ethan,Male,What is with the creepy story? She's only six months old.
Mia,Female,Woman at the store said it was traditional.
Mia,Female,"A local tale. Besides, Rose doesn't seem to mind."
Ethan,Male,"Because she doesn't understand it, thank god. We moved here so that she wouldn't have to deal with any of that, remember?"
Mia,Female,There’s nothing wrong with my memory. You're just being paranoid.
Ethan,Male,"It's not—never mind I'm sorry. But I’m not paranoid, I'm just cautious."
Mia,Female,"Then, go cautiously take your daughter to bed. I'll finish dinner."
Ethan,Male,"It's OK, Rose. Your mother doesn't want to remember. I can't blame her."
Mia,Female,Did you say something?
Ethan,Male,Nothing—I'll put her down.
Ethan,Male,Her birthday will be here before we know it.
Mia,Female,They grow up fast. Let's just enjoy it while we can.
Ethan,Male,"There, there. It's like I said to your mom—that book's too scary for you."
Ethan,Male,Your mom and I love this song so much.
Ethan,Male,"Almost there, honey."
Ethan,Male,"There you go, sweetheart. Don't you worry, I'll be right downstairs. Daddy won't let those weird fairy tale monsters get you."
Ethan,Male,I wish it could stay like this forever.
Ethan,Male,It's not paranoia if they're really out to get you.
Ethan,Male,Rose is fine.
Ethan,Male,Why do I even keep this around? I should get rid of it someday.
Ethan,Male,Gotta do a deep clean before Rose starts walking around.
Ethan,Male,Everyone's forgotten about this already….
Ethan,Male,She's going to grow up beautiful.
Ethan,Male,She's asleep.
Ethan,Male,She's started to outgrow them.
Ethan,Male,"Oh, Mia…what a miracle."
Ethan,Male,"Three years ago, I couldn't even imagine, something like this would happen."
Mia,Female,Is she OK?
Ethan,Male,"Sleeping like a…well, like a baby. Mm, that smells good. What's that?"
Mia,Female,"Hands off, mister. It's ciorba de legume. It's a local recipe."
Ethan,Male,"Wow. You've gone full native, haven't you?"
Mia,Female,"Local wine, too. But if you're going to keep sulking all evening, maybe you shouldn't have any. You really have to stop worrying."
Ethan,Male,"It's just… Finding you in Louisiana, the pregnancy.Chris moving us here, military training—It all happened so fast, you know?"
Mia,Female,"Well, at least we're all together. You, me, Rose. Now everything’s going to be—"
Ethan,Male,Seriously? You think we can just forget what happened in Louisiana?
Mia,Female,It happened so long ago. I just I don't understand why you are so—
Mia,Female,Wha—!?
Ethan,Male,"Mia, get down!"
Ethan,Male,ΜΙΑ!
Ethan,Male,"Mia. Oh, god…"
Ethan,Male,Chris…!? What the hell!?
Chris,Male,"Sorry, Ethan."
Ethan,Male,No! What!? Why!?
Soldier,,"Go on, move!"
Ethan,Male,Rose? What the hell are you doing with my daughter?
