Character,Gender,Playable,Line
Unknown Speaker,,Non-Playable,"Her name is Claire Redfield. We caught her trespassing in our Paris Lab facility 10 days ago. She apparently infiltrated the complex looking for her lost brother, Chris Redfield, one of the surviving members of R.P.D.'s famous S.T.A.R.S. teams."
Rodrigo,Male,Non-Playable,Don't Move.
Rodrigo,Male,Non-Playable,"Perfect! Go on, get out of here, this place is finished. I don't know, it might have been a special forces team. But in any case this prison has been taken over, the troops have been wiped out."
Claire,Female,Playable,What are you saying?
Rodrigo,Male,Non-Playable,"Your free to leave the complex, but you may as well know, you have  no chance of getting off this island."
Claire,Female,Playable,"And what about you, what are you going to do?"
Rodrigo,Male,Non-Playable,Don't worry about me.
Steve,,Playable,Waa! Wait wait! Don't Shoot!
Claire,Female,Playable,Who are you!
Steve,,Playable,"Huh? Your not a zombie. Oh Great, wait right there, I’m coming over."
Steve,,Playable,"Uh sorry about that little misunderstanding, but I thought you were another one of them mon..."
Claire,Female,Playable,Shut up! Make one wrong move and I’ll shoot!
Steve,,Playable,"Relax beautiful. I said I was sorry, my names Steve. I was a prisoner on this island and I’m guessing your not from Umbrella either."
Claire,Female,Playable,"No I'm Claire, Claire Redfield."
Steve,,Playable,"Claire, hmm nice, I'll remember that. Hey I heard there’s an airport around here, once I find it I can finally escape from this crazy island. I'll see yeah."
Claire,Female,Playable,Hey wait up!
Steve,,Playable,"I don't want you following me lady, you'll only slow me down."
Steve,,Playable,Chris Redfield...
Claire,Female,Playable,What are you doing here?
Steve,,Playable,Chris Redfield...is he a relative of yours or something?
Claire,Female,Playable,You mean my brother?
Steve,,Playable,Ahh...your siblings. Well it seems your brother is under surveillance by Umbrella.
Claire,Female,Playable,What?! I got to connect Leon and tell him to let my brother know he's being monitored. Its a good thing I have access to an outside connection from here.
Steve,,Playable,Well that file shows the latitude and longitude of this place. Ha! Why don't you send your brother the coordinates and ask him to come help.
Claire,Female,Playable,Thanks! I'll do that!
Steve,,Playable,"Hey! I was just kidding! There’s no way he could get here, even if he is your brother."
Claire,Female,Playable,"Yes he can, I'm sure of it."
Steve,,Playable,No way! He won't come! You'll end up disappointed if you rely on others! Believe me! I know!
Claire,Female,Playable,What was that all about?
Steve,,Playable,Ahh!! Help me!!
Claire,Female,Playable,Steve?!
Steve,,Playable,"That was to close. But I found something, thanks to...you. Looks cool huh?"
