Character,Gender,Line
Jake,Male,"This stuff do anything for you yet? Supposed to be some kind of energy booster, but I don’t feel any different. You know, between me and you, I think we should’ve asked for more money. A lot more."
Jake,Male,Pretty sure this wasn’t part of the contract… But I am willing to renegotiate.
Sherry,Female,Did you take your dose?
Jake,Male,"Yeah. But if you want your own hit, you gotta sign up with the lady downstairs. Wouldn’t recommend it, though."
Sherry,Female,No question. You’ve got the antibodies.
Jake,Male,"Thank you very much. Wait, what?"
Sherry,Female,"You could be the key to saving this world, Jake Muller."
Jake,Male,Better save myself first.
Jake,Male,You lose something?
Sherry,Female,Just my balance. I’m fine.
Sherry,Female,"Sherry Birkin, the United States—"
Jake,Male,"Yeah, yeah, yeah. Good for you, but now’s not really the time. You coming?"
Sherry,Female,"After you. Those things up there were J’avo, they’re the B.O.W.s the insurgents are using."
Jake,Male,That explains why there’s a shitload of BSAA troops here.
Sherry,Female,We need to get out of the country without drawing either party’s attention.
Jake,Male,Goddamn BSAA! What the hell are you shooting at?
Sherry,Female,"Everyone in your platoon is one of those J’avo now! And you’re dressed just like them. Come on, we have to get out of here!"
Jake,Male,"Man, look at this circus. Got any popcorn?"
Sherry,Female,Stop gawking! We don’t have time!
Jake,Male,"All right, first things first. I want 200,000 up front, another 200 when this is over. Oh, and B.O.W.s? Those are extra. An additional grand. Each."
Sherry,Female,I’m not here to hire you.
Jake,Male,What? Why are you here?
Sherry,Female,Your blood.
Jake,Male,"What are you, the Red Cross or something?"
Sherry,Female,"No, listen those… things that attacked us, they were all exposed to a new virus called the C-Virus. The same strain that you just took a dose of. It didn’t affect you because you’ve got the antibodies. Right now we’re racing against a global bioterrorist attack, and we needed a vaccine yesterday. We need you, Jake. We need your blood."
Jake,Male,50 million dollars.
Sherry,Female,What?
Jake,Male,Cash. Non-negotiable. That’ll get you one pint.
Jake,Male,Looks like they’re expecting us. We’re gonna have to shoot our way out.
Sherry,Female,Agreed. We don’t have a choice now.
Jake,Male,What are you waiting for?
Sherry,Female,Do I look like a circus acrobat to you? I’ll find another way. Just don’t wander off too far.
Jake,Male,Don’t worry. I ain’t running till I get my money. Whole place is falling apart. Easy does it.
Sherry,Female,Give me a hand!
Jake,Male,This is starting to feel like work.
Sherry,Female,Looks like the BSAA have got their work cut out for them.
Jake,Male,You don’t know the half of it. Last I checked my employers had a tank parked on the other side of the river. The only way the BSAA are leaving that bridge again are in bodybags.
Sherry,Female,No. You’re wrong. They’re more resilient than you can imagine.
Jake,Male,"Ah what the hell, I’m not one of those ‘roided out freaks, you morons."
Jake,Male,What do ya think? Fight or flight?
Sherry,Female,There’s too many of ’em! I’m gonna go with flight!
Jake,Male,"All right, where to?"
Sherry,Female,Let’s go! This is a waste of time!
Jake,Male,"Yeah, no shit!"
Sherry,Female,Run!
Jake,Male,Eat this!
Sherry,Female,Thanks for the warning!
Jake,Male,"ОК… We go with your plan. Son of a bitch, he’s strong!"
Sherry,Female,Run!
Jake,Male,Here goes nothing!
Sherry,Female,Jake!
Jake,Male,It’s always something with women!
Jake,Male,What the hell is that thing?
Sherry,Female,"He’s tracking us. Well… technically, you."
Sherry,Female,"Look, we can get out there!"
Jake,Male,This place looks like it’s gonna collapse too. Somebody outta call the building inspector.
Sherry,Female,"Yeah. Boy it’s even colder in here than it was outside. Dammit, they found us!"
Jake,Male,"Shit, don’t these assholes have anything better to do!"
Sherry,Female,I don’t think he’s too keen on us leaving!
Jake,Male,"He’ll just have to get over it then, huh!"
Sherry,Female,You’re not taking Jake!
Jake,Male,Hope you haven’t forgotten about my 50 million dollars.
Sherry,Female,I’ll talk to my boss - if we make it out of here alive.
Jake,Male,"(to Ustanak) What’s wrong, asshole? Losing your nerve? Gotcha, you son of a bitch!"
Sherry,Female,"I swear, this mission gets harder by the minute. But at least you’re still safe. We’ve got a lot riding on us."
Jake,Male,"(chuckles) Three years ago I thought I was gonna die in the jungles of South America. Enemy had us surrounded. ’Fore I knew it, everyone on my team was dead. And I’d lost my gun in the scramble. This bastard comes at me with a knife. Probably thought I wasn’t even worth the bullet."
Sherry,Female,Why are you telling me this?
Jake,Male,Dying on a blade is the last way you wanna go. It’s a bitch. Mercs like me? We don’t get a say in how we die. That’s just how it goes.
Sherry,Female,"It’s… kind of what you signed up for, isn’t it?"
Jake,Male,"Dying for money’s one thing - that’s my choice. But dying for no good reason? That doesn’t sit right with me. ...So. You wanna tell me what that big friggin’ behemoth was, and why he’s trying to kill me?"
Sherry,Female,That thing is just like the J’avo - a bio-organic weapon created with the C-Virus. He’s being used by a terrorist organization called Neo-Umbrella.
Jake,Male,Never heard of ’em.
Sherry,Female,"They want to study the antibodies in your blood, and they don’t care if you’re dead or alive."
Jake,Male,I was better off as a mercenary.
Sherry,Female,I’m not gonna let anything happen to you. The world needs you.
Jake,Male,"No no, not me. Just my blood. Well, the world can have it. Long as someone ponies up the dough."
Sherry,Female,Sherry Birkin – National Security!
Chris,Male,Sherry Birkin? You were in Raccoon City.
Sherry,Female,How do you know that?
Chris,Male,Claire.
Sherry,Female,Wait... Are you Chris?
Chris,Male,My sister’s told me all about you.
Piers,Male,"Chris, that man is a wanted insurgent."
Sherry,Female,"Yes, he’s a mercenary. But right now he’s under the protection of the U.S. government. He’s no threat to the BSAA."
Jake,Male,Unless someone pays me to be.
