Topic Number,Weight,Keywords
1,0.5,bio-weapon ultimate die zombies isn't monsters turn perfection short bad case couldn't shut can't daughter skin thought ladder rope drop 
2,0.5,claire don't back it's you're finally stay safe worry can't hurry mom hang dangerous fine coming plant daddy yeah switch 
3,0.5,sherry leon find wait i'll give brother annette found wake let's chris won't place cop we've shoot save check redfield 
4,0.5,stars survivors raccoon incident chris redfield members outskirts t-virus umbrella racoon survivor escaping outbreak member jill hall doors unlock rooms 
5,0.5,i’m hold told i’ve john escape dead working heard wong remember alive close spy capable john’s locked lose good office 
6,0.5,leon city police work time g-virus hand find woman i’ll ago named chemical department hole ventilation reach months danger disappeared 
7,0.5,g-virus william you’re don’t birkin t-virus husband care you're won’t research truth ability happened it’s sample information discovered human lost 
8,0.5,i’m what’s inside don’t there’s job things zombies leave easy make thing move cell wrong chief leaving sewer officer open 
9,0.5,ada stay hey wait ben meet it’s don’t can’t i’ll we’re great guy name's station that’s lot gonna wound let’s 
10,0.5,i'm i've what's umbrella town that's sherry girl made stop happened man telling you've don't zombie monster bullet running end 
