Character,Topic Number,Weight
Ada,Topic 1,0.004424779
Annette,Topic 1,0.022058824
Claire,Topic 1,0.004943503
Irons,Topic 1,0.010869565
Kendo,Topic 1,0.031914894
Leon,Topic 1,0.032232704
Marvin,Topic 1,0.032142857
Sherry,Topic 1,0.08203125
William,Topic 1,0.375
Ada,Topic 2,0.140117994
Annette,Topic 2,0.026960784
Claire,Topic 2,0.026129944
Irons,Topic 2,0.061594203
Kendo,Topic 2,0.138297872
Leon,Topic 2,0.106132075
Marvin,Topic 2,0.010714286
Sherry,Topic 2,0.00390625
William,Topic 2,0.025
Ada,Topic 3,0.060471976
Annette,Topic 3,0.06127451
Claire,Topic 3,0.19420904
Irons,Topic 3,0.155797101
Kendo,Topic 3,0.053191489
Leon,Topic 3,0.321540881
Marvin,Topic 3,0.196428571
Sherry,Topic 3,0.26171875
William,Topic 3,0.025
Ada,Topic 4,0.246312684
Annette,Topic 4,0.066176471
Claire,Topic 4,0.259180791
Irons,Topic 4,0.06884058
Kendo,Topic 4,0.20212766
Leon,Topic 4,0.192610063
Marvin,Topic 4,0.317857143
Sherry,Topic 4,0.12109375
William,Topic 4,0.125
Ada,Topic 5,0.113569322
Annette,Topic 5,0.316176471
Claire,Topic 5,0.076977401
Irons,Topic 5,0.141304348
Kendo,Topic 5,0.244680851
Leon,Topic 5,0.080974843
Marvin,Topic 5,0.010714286
Sherry,Topic 5,0.13671875
William,Topic 5,0.225
Ada,Topic 6,0.104719764
Annette,Topic 6,0.139705882
Claire,Topic 6,0.000706
Irons,Topic 6,0.242753623
Kendo,Topic 6,0.074468085
Leon,Topic 6,0.010220126
Marvin,Topic 6,0.367857143
Sherry,Topic 6,0.08984375
William,Topic 6,0.025
Ada,Topic 7,0.028023599
Annette,Topic 7,0.115196078
Claire,Topic 7,0.39759887
Irons,Topic 7,0.307971014
Kendo,Topic 7,0.095744681
Leon,Topic 7,0.153301887
Marvin,Topic 7,0.010714286
Sherry,Topic 7,0.04296875
William,Topic 7,0.025
Ada,Topic 8,0.272861357
Annette,Topic 8,0.242647059
Claire,Topic 8,0.004943503
Irons,Topic 8,0.003623188
Kendo,Topic 8,0.010638298
Leon,Topic 8,0.071540881
Marvin,Topic 8,0.032142857
Sherry,Topic 8,0.01953125
William,Topic 8,0.125
Ada,Topic 9,0.001474926
Annette,Topic 9,0.00245098
Claire,Topic 9,0.002118644
Irons,Topic 9,0.003623188
Kendo,Topic 9,0.010638298
Leon,Topic 9,0.000786
Marvin,Topic 9,0.003571429
Sherry,Topic 9,0.00390625
William,Topic 9,0.025
Ada,Topic 10,0.028023599
Annette,Topic 10,0.007352941
Claire,Topic 10,0.03319209
Irons,Topic 10,0.003623188
Kendo,Topic 10,0.138297872
Leon,Topic 10,0.030660377
Marvin,Topic 10,0.017857143
Sherry,Topic 10,0.23828125
William,Topic 10,0.025
