Weight,Word
1,ada
1,i’m
1,i’ll
1,hold
1,can’t
1,police
1,move
1,that’s
1,dead
1,hear
1,radio
1,glove
1,alive
1,escape
1,wouldn’t
1,creature
1,team
1,happening
1,meantime
1,put
3,claire
3,i'm
3,leon
3,mom
3,stop
3,work
3,coming
3,heard
3,guy
3,daddy
3,switch
3,matter
3,care
3,stomach
3,call
3,there's
3,train
3,hurts
3,rely
3,spent
9,leon
9,find
9,stay
9,i'll
9,g-virus
9,give
9,umbrella
9,we've
9,shoot
9,save
9,working
9,fine
9,sherry's
9,run
9,arrived
9,plant
9,telling
9,office
9,mine’s
9,reach
2,claire
2,hey
2,job
2,name's
2,we’re
2,gonna
2,stay
2,lot
2,beginning
2,touch
2,maniac’s
2,nice
2,kennedy
2,buckle
2,rest
2,worked
2,unconscious
2,crazy
2,missed
2,lab
4,i'm
4,town
4,girl
4,made
4,you've
4,leave
4,running
4,true
4,i'd
4,hurry
4,happened
4,monster
4,tracks
4,case
4,brain
4,putting
4,manner
4,miserably
4,monitor
4,protect
2,william
2,g-virus
2,husband
2,birkin
2,t-virus
2,don’t
2,care
2,man
2,information
2,human
2,pendant
2,close
2,obtain
2,she’s
2,gullible
2,talking
2,earlier
2,revitalize
2,wound
2,happened
1,that's
1,i'm
1,told
1,isn't
1,monsters
1,couldn't
1,shut
1,longer
1,i've
1,die
1,zombies
1,home
1,cover
1,product
1,superior
1,understand
1,hobby
1,decapitating
1,hour
1,putrefy
1,city
1,zombies
1,time
1,truth
1,hole
1,ventilation
1,thought
1,worry
1,station
1,infested
1,entire
1,noticed
1,freeze
1,background
1,worse
1,car
1,keycard
1,eye
1,keeping
1,girly
1,meet
1,great
1,station
1,it’s
1,box
1,day
1,radio’s
1,safer
1,it’ll
1,wound
1,man
1,key
1,forget
1,lie
1,treat
1,secret
1,umbrella’s
1,rpd
1,longer
1,reason
9,don't
9,it's
9,you're
9,back
9,wait
9,what's
9,finally
9,can't
9,safe
9,worry
9,let's
9,won't
9,wrong
9,dangerous
9,place
9,redfield
9,you’re
9,leaving
9,called
9,chief
3,don’t
3,what’s
3,inside
3,there’s
3,things
3,make
3,thing
3,easy
3,let’s
3,officer
3,goodbye
3,entrance
3,locked
3,crawling
3,chemical
3,lose
3,good
3,cell
3,isn’t
3,security
1,john
1,i’ve
1,wong
1,told
1,john’s
1,chicago
1,heard
1,ben
1,capable
1,body
1,woman
1,i'm
1,enjoy
1,short
1,injuries
1,slow
1,found
1,patch
1,bad
1,offspring
1,ability
1,he's
1,that's
1,mother
1,don't
1,husband's
1,girlfriend
1,specifically
1,reason
1,operatives
1,where’s
1,prior
1,transformation
1,functions
1,cellular
1,taking
1,steal
1,fault
1,regret
1,password
10,sherry
10,i've
10,brother
10,wake
10,annette
10,found
10,chris
10,cop
10,piece
10,embryos
10,happened
10,gun
10,insane
10,antidote
10,sewer
10,left
10,pupate
10,follow
10,it'll
10,corridor
2,wait
2,ben
2,yeah
2,open
2,hang
2,mention
2,head
2,ram
2,huh
2,door
2,zombies
2,leave
2,guess
2,sewers
2,worried
2,stupid
2,answer
2,split
2,end
2,trouble
1,hand
1,danger
1,disappeared
1,work
1,life’s
1,you’ve
1,precious
1,sheer
1,perfection
1,finally
1,dropped
1,caring
1,period
1,you’ll
1,sooner
1,quiet
1,talk
1,shaft
1,upstairs
1,rumors
1,i’m
1,won’t
1,kennel
1,police
1,cell
1,back
1,pay
1,scum
1,co-conspirator
1,chief
1,irony
1,bitter
1,sewer
1,lead
1,manhole
1,leaving
1,aren’t
1,heck
1,zombies
1,leave
1,bio-weapon
1,umbrella
1,ultimate
1,turn
1,bullet
1,daughter
1,skin
1,precinct
1,tearing
1,figured
1,haven't
1,project
1,genius
1,humans
1,agent
1,beautiful
1,destroyed
1,possibly
1,everyone's
1,letting
1,ago
1,months
1,stars
1,chris
1,hall
1,doors
1,unlock
1,rooms
1,rescue
1,believed
1,lives
1,members
1,outskirts
1,located
1,mansion
1,involving
1,incident
1,survivors
1,discovered
1,guy
1,you’re
1,research
1,it’s
1,building
1,you're
1,lost
1,remember
1,sample
1,spy
1,aren't
1,die
1,discovered
1,agency
1,legacy
1,husband’s
1,didn’t
1,murdered
1,memories
1,result
1,darling
