Weight,Keywords
2,eyes
2,walking
2,they'll
2,man
2,things
2,night
2,yeah
2,good
2,sleep
2,corpse
2,coming
2,sounds
2,freeze
2,started
2,home
2,I've
2,handing
2,life's
2,gettin
2,wife
4,we're
4,stop
4,that's
4,lets
4,fuck
4,hold
4,alive
4,I'll
4,sir
4,trust
4,move
4,you'll
4,nest
4,doctor
4,bring
4,birkin
4,thinking
4,orders
4,supposed
4,samples
10,claire
10,good
10,marvin
10,that's
10,hell
10,find
10,thing
10,jesus
10,ada
10,station
10,there's
10,he's
10,alright
10,leave
10,hold
10,key
10,coming
10,police
10,damn
10,lieutenant
6,I'm
6,it's
6,leon
6,you're
6,can't
6,back
6,hey
6,make
6,huh
6,safe
6,I've
6,brother
6,dammit
6,hand
6,end
6,care
6,hope
6,promise
6,run
6,they're
3,don't
3,stay
3,hurt
3,time
3,william
3,work
3,daughter
3,umbrella
3,worse
3,told
3,hear
3,card
3,mommy
3,sherry's
3,world
3,tie
3,stupid
3,glad
3,pendant
3,asshole
1,stop
1,bitch
1,save
1,you'll
1,show
1,important
1,wake
1,thought
1,happen
1,hands
1,secret
1,mess
1,we'll
1,careful
1,business
1,I'd
1,taught
1,couldn't
1,dead
1,honestly
5,sherry
5,yeah
5,god
5,gotta
5,shit
5,gonna
5,I'll
5,hey
5,fucking
5,outta
5,wait
5,fine
5,what's
5,happened
5,we're
5,kidding
5,alright
5,worry
5,car
5,cop
3,g-virus
3,didn't
3,annette
3,she's
3,city
3,sample
3,gonna
3,umbrella's
3,fbi
3,case
3,call
3,raccoon
3,facility
3,virus
3,police
3,lab
3,responsible
3,people
3,leon
3,free
1,detonation
1,minutes
1,solution
1,attention
1,sequence
1,nest
1,initiated
1,lockdown
1,neutralized
1,target
1,detected
1,complete
1,cooling
1,dispensing
1,staff
1,required
1,self-destruct
1,level
1,access
1,clearance
2,open
2,mom
2,hurry
2,whoa
2,gotta
2,give
2,east
2,found
2,marvin
2,door
2,calm
2,alright
2,story
2,buddy
2,hide
2,daddy
2,move
2,c'mon
2,r.p.d.
2,minutes
2,touchdown
